# 0 - x coord
# 1 - y coord
# 2 - car max hourly cost
# 3 - car max distance
# 4 - car hours needed
# 5 - regular-luxury-handicap spot booleans
# 6 - evaluator (STRICT, LOWERCOST, LOWERDIST, FLEXIBLE)
4, 8, 2, 18, 5, 100, LOWERCOST
12, 2, 11, 20, 1, 100, FLEXIBLE
14, 9, 9, 15, 3, 100, STRICT
8, 1, 2, 9, 5, 100, STRICT
9, 8, 12, 15, 5, 100, LOWERCOST
12, 1, 10, 11, 2, 100, FLEXIBLE
10, 7, 15, 8, 5, 100, FLEXIBLE
8, 2, 2, 16, 1, 100, LOWERDIST
9, 10, 5, 11, 2, 100, LOWERCOST
9, 0, 1, 8, 4, 100, LOWERCOST
12, 3, 7, 17, 4, 100, LOWERCOST
3, 2, 8, 5, 1, 100, LOWERCOST
5, 5, 13, 6, 1, 100, FLEXIBLE
14, 10, 11, 12, 3, 100, LOWERCOST
11, 3, 1, 5, 4, 100, LOWERDIST
4, 11, 4, 19, 5, 100, LOWERDIST
13, 12, 3, 10, 3, 100, LOWERCOST
1, 9, 6, 6, 1, 100, LOWERCOST
0, 11, 6, 15, 3, 100, STRICT
7, 2, 4, 5, 5, 100, LOWERCOST
3, 10, 1, 14, 2, 100, STRICT
8, 13, 11, 12, 4, 100, STRICT
4, 6, 14, 20, 5, 100, STRICT
4, 0, 9, 12, 3, 100, FLEXIBLE
13, 5, 12, 7, 1, 100, LOWERCOST
2, 12, 7, 19, 2, 100, STRICT
13, 4, 10, 16, 1, 100, LOWERCOST
14, 3, 8, 5, 4, 100, LOWERDIST
3, 12, 14, 16, 4, 100, FLEXIBLE
7, 7, 7, 17, 1, 100, FLEXIBLE
13, 7, 2, 16, 4, 100, LOWERDIST
1, 13, 5, 19, 3, 100, LOWERCOST
2, 11, 1, 14, 4, 100, LOWERDIST
13, 2, 6, 9, 1, 100, FLEXIBLE
2, 0, 1, 14, 2, 100, FLEXIBLE
2, 4, 12, 7, 3, 100, LOWERCOST
6, 12, 12, 15, 2, 100, STRICT
10, 10, 3, 9, 4, 100, LOWERDIST
9, 7, 12, 20, 3, 100, STRICT
11, 13, 7, 16, 2, 100, FLEXIBLE
11, 2, 10, 5, 3, 100, STRICT
9, 4, 5, 7, 3, 100, LOWERCOST
9, 11, 9, 18, 1, 100, LOWERDIST
7, 4, 5, 13, 2, 100, LOWERCOST
5, 11, 4, 6, 3, 100, STRICT
8, 0, 4, 8, 2, 100, STRICT
1, 2, 8, 17, 5, 100, FLEXIBLE
4, 3, 1, 14, 4, 100, LOWERDIST
0, 1, 9, 6, 2, 100, FLEXIBLE
11, 0, 4, 15, 2, 100, STRICT
13, 9, 8, 15, 4, 100, STRICT
3, 1, 9, 8, 5, 100, STRICT
6, 0, 13, 6, 3, 100, LOWERCOST
1, 0, 6, 8, 2, 100, FLEXIBLE
1, 5, 12, 7, 4, 100, LOWERDIST
9, 13, 5, 11, 4, 100, LOWERDIST
1, 12, 14, 10, 1, 100, FLEXIBLE
4, 14, 4, 19, 1, 100, LOWERCOST
12, 0, 14, 8, 3, 100, LOWERDIST
11, 11, 1, 12, 2, 100, LOWERDIST
13, 0, 10, 12, 5, 100, STRICT
6, 14, 6, 13, 1, 100, LOWERDIST
14, 14, 11, 18, 1, 100, STRICT
8, 6, 5, 14, 2, 100, FLEXIBLE
0, 10, 7, 17, 3, 100, LOWERCOST
0, 14, 12, 10, 1, 100, STRICT
2, 13, 6, 15, 4, 100, FLEXIBLE
6, 6, 13, 9, 1, 100, LOWERCOST
6, 9, 12, 9, 5, 100, LOWERCOST
0, 2, 7, 14, 5, 100, LOWERDIST
3, 3, 6, 11, 3, 100, LOWERCOST
13, 14, 1, 5, 5, 100, LOWERCOST
11, 9, 13, 20, 5, 100, LOWERCOST
3, 5, 1, 15, 3, 100, FLEXIBLE
4, 12, 4, 8, 5, 100, FLEXIBLE
8, 10, 8, 14, 2, 100, FLEXIBLE
2, 3, 7, 8, 5, 100, STRICT
8, 11, 4, 6, 3, 100, STRICT
12, 9, 7, 7, 2, 100, FLEXIBLE
5, 12, 15, 7, 4, 100, LOWERCOST
5, 10, 10, 17, 5, 100, LOWERDIST
11, 10, 4, 19, 5, 100, FLEXIBLE
3, 8, 10, 8, 2, 100, FLEXIBLE
10, 3, 8, 12, 4, 100, LOWERCOST
7, 11, 7, 14, 2, 100, LOWERDIST
3, 13, 11, 11, 2, 100, FLEXIBLE
8, 5, 8, 10, 1, 100, LOWERCOST
13, 11, 6, 14, 4, 100, LOWERDIST
6, 7, 8, 12, 1, 100, STRICT
3, 4, 13, 6, 4, 100, FLEXIBLE
12, 6, 1, 18, 2, 100, FLEXIBLE
13, 13, 7, 20, 5, 100, FLEXIBLE
8, 4, 2, 9, 2, 100, STRICT
11, 8, 4, 6, 5, 100, LOWERDIST
9, 5, 1, 15, 5, 100, FLEXIBLE
4, 7, 5, 18, 2, 100, LOWERDIST
12, 11, 2, 17, 2, 100, LOWERDIST
3, 7, 15, 8, 3, 100, LOWERDIST
5, 14, 1, 7, 5, 100, STRICT
10, 6, 5, 10, 5, 100, STRICT
